Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
HARD,Lexicographically Smallest Generated String,100.0,0.27370445802217697,https://leetcode.com/problems/lexicographically-smallest-generated-string,"String, Greedy, String Matching"
MEDIUM,Pacific Atlantic Water Flow,83.6,0.5701296554800399,https://leetcode.com/problems/pacific-atlantic-water-flow,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Binary Tree Right Side View,83.6,0.6588462291750823,https://leetcode.com/problems/binary-tree-right-side-view,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
HARD,Basic Calculator III,71.5,0.5202129967748934,https://leetcode.com/problems/basic-calculator-iii,"Math, String, Stack, Recursion"
MEDIUM,Coin Change,71.5,0.4591439053646608,https://leetcode.com/problems/coin-change,"Array, Dynamic Programming, Breadth-First Search"
MEDIUM,House Robber,62.0,0.5202375441726034,https://leetcode.com/problems/house-robber,"Array, Dynamic Programming"
HARD,Alien Dictionary,62.0,0.3646072301726628,https://leetcode.com/problems/alien-dictionary,"Array, String, Depth-First Search, Breadth-First Search, Graph, Topological Sort"
HARD,Find Median from Data Stream,62.0,0.5303618305891136,https://leetcode.com/problems/find-median-from-data-stream,"Two Pointers, Design, Sorting, Heap (Priority Queue), Data Stream"
HARD,N-Queens,62.0,0.7182422374735282,https://leetcode.com/problems/n-queens,"Array, Backtracking"
MEDIUM,3Sum,62.0,0.36531426579076987,https://leetcode.com/problems/3sum,"Array, Two Pointers, Sorting"
MEDIUM,Search a 2D Matrix,62.0,0.51848681954275,https://leetcode.com/problems/search-a-2d-matrix,"Array, Binary Search, Matrix"
MEDIUM,Kth Smallest Element in a BST,62.0,0.7480364321455272,https://leetcode.com/problems/kth-smallest-element-in-a-bst,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Decode String,62.0,0.6074708471841013,https://leetcode.com/problems/decode-string,"String, Stack, Recursion"
HARD,Basic Calculator,62.0,0.4498981749110268,https://leetcode.com/problems/basic-calculator,"Math, String, Stack, Recursion"
EASY,Valid Parentheses,62.0,0.41916920652639794,https://leetcode.com/problems/valid-parentheses,"String, Stack"
MEDIUM,Course Schedule II,62.0,0.5273970523534505,https://leetcode.com/problems/course-schedule-ii,"Depth-First Search, Breadth-First Search, Graph, Topological Sort"
MEDIUM,Insert Delete GetRandom O(1),62.0,0.5493276874471484,https://leetcode.com/problems/insert-delete-getrandom-o1,"Array, Hash Table, Math, Design, Randomized"
MEDIUM,LRU Cache,62.0,0.44550532222749,https://leetcode.com/problems/lru-cache,"Hash Table, Linked List, Design, Doubly-Linked List"
